City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Avarua,-21.2078,-159.775,78.85,69,40,12.66,CK,2022-09-11 21:29:05
68,Skeldon,5.8833,-57.1333,78.64,79,56,5.66,GY,2022-09-11 21:33:54
69,Port Alfred,-33.5906,26.891,56.17,85,97,3.0,ZA,2022-09-11 21:29:19
70,Tromso,69.6496,18.957,46.42,87,40,5.75,NO,2022-09-11 21:29:07
71,Purpe,64.4803,76.6897,36.32,78,72,10.13,RU,2022-09-11 21:33:55
72,Leningradskiy,69.3833,178.4167,40.98,75,9,8.37,RU,2022-09-11 21:31:45
73,Oriximina,-1.7656,-55.8661,88.9,37,67,2.51,BR,2022-09-11 21:33:56
74,Puerto Ayora,-0.7393,-90.3518,75.16,86,71,8.01,EC,2022-09-11 21:29:17
75,Ushuaia,-54.8,-68.3,42.46,65,40,17.27,AR,2022-09-11 21:29:07
76,Saint-Philippe,-21.3585,55.7679,65.79,80,37,8.63,RE,2022-09-11 21:30:28
77,Severo-Kurilsk,50.6789,156.125,55.49,87,19,10.67,RU,2022-09-11 21:31:52
78,Loukhi,66.0764,33.0381,49.64,67,100,6.33,RU,2022-09-11 21:33:57
79,Hilo,19.7297,-155.09,87.28,69,0,9.22,US,2022-09-11 21:33:57
80,Kulhudhuffushi,6.6221,73.07,80.17,82,83,14.12,MV,2022-09-11 21:33:58
81,Norman Wells,65.282,-126.8329,57.24,58,75,8.05,CA,2022-09-11 21:29:04
82,Vaini,-21.2,-175.2,78.96,78,20,6.91,TO,2022-09-11 21:30:24
83,Leshukonskoye,64.8989,45.7622,43.88,98,93,5.41,RU,2022-09-11 21:33:59
84,Saint-Francois,46.4154,3.9054,60.67,77,0,0.0,FR,2022-09-11 21:33:59
85,Baruun-Urt,46.6806,113.2792,48.07,83,7,8.72,MN,2022-09-11 21:34:00
86,Kiama,-34.6833,150.8667,55.38,58,45,11.99,AU,2022-09-11 21:32:38
87,Planaltina,-15.4528,-47.6142,77.41,21,41,3.31,BR,2022-09-11 21:34:00
88,Salinopolis,-0.6136,-47.3561,79.27,82,82,10.2,BR,2022-09-11 21:34:01
89,Komarov,49.8065,13.8564,56.52,100,3,3.18,CZ,2022-09-11 21:34:01
90,Nome,64.5011,-165.4064,49.15,93,100,21.85,US,2022-09-11 21:33:00
91,Lebu,-37.6167,-73.65,52.09,78,64,4.14,CL,2022-09-11 21:32:53
92,Narsaq,60.9167,-46.05,46.62,88,76,5.3,GL,2022-09-11 21:30:29
93,Tiksi,71.6872,128.8694,35.19,87,98,15.17,RU,2022-09-11 21:33:03
94,Juba,4.8517,31.5825,70.66,88,15,3.91,SS,2022-09-11 21:35:03
95,Namatanai,-3.6667,152.4333,81.66,63,55,10.87,PG,2022-09-11 21:35:03
96,Klaksvik,62.2266,-6.589,49.12,95,95,4.07,FO,2022-09-11 21:35:04
97,Veraval,20.9,70.3667,79.25,90,100,10.67,IN,2022-09-11 21:35:05
98,Sola,-13.8833,167.55,81.27,78,75,0.0,VU,2022-09-11 21:35:05
99,Butaritari,3.0707,172.7902,82.29,68,96,11.9,KI,2022-09-11 21:29:16
100,Yellowknife,62.456,-114.3525,50.56,66,75,10.36,CA,2022-09-11 21:29:15
101,Torbay,47.6666,-52.7314,59.58,97,100,21.85,CA,2022-09-11 21:35:06
102,Ranibennur,14.6167,75.6167,70.5,88,100,15.84,IN,2022-09-11 21:35:07
103,Tilichiki,60.4667,166.1,45.99,89,100,3.94,RU,2022-09-11 21:31:46
104,Makakilo City,21.3469,-158.0858,84.69,62,0,13.8,US,2022-09-11 21:35:08
105,Georgetown,5.4112,100.3354,79.9,90,20,3.44,MY,2022-09-11 21:26:09
106,Karratha,-20.7377,116.8463,66.96,61,0,2.73,AU,2022-09-11 21:35:08
107,Nenjiang,49.1833,125.2167,54.66,90,99,9.57,CN,2022-09-11 21:35:09
108,Kurya,51.6003,82.2888,53.22,46,65,17.36,RU,2022-09-11 21:35:09
109,Tabuk,17.4189,121.4443,71.37,89,90,3.02,PH,2022-09-11 21:35:10
110,Sao Felix Do Xingu,-6.6447,-51.995,85.75,30,4,0.72,BR,2022-09-11 21:35:10
111,Finnsnes,69.2296,17.9811,48.81,92,100,6.02,NO,2022-09-11 21:35:11
112,Comodoro Rivadavia,-45.8667,-67.5,64.26,36,0,18.41,AR,2022-09-11 21:35:11
113,Beringovskiy,63.05,179.3167,46.78,77,98,16.49,RU,2022-09-11 21:35:12
114,Palu,-0.8917,119.8707,73.35,93,96,2.95,ID,2022-09-11 21:30:23
115,Bengkulu,-3.8004,102.2655,74.28,86,81,4.05,ID,2022-09-11 21:33:08
116,Vila,42.0304,-8.1588,61.7,78,100,3.78,PT,2022-09-11 21:35:12
117,Wuwei,37.9281,102.6414,59.05,47,0,0.72,CN,2022-09-11 21:35:13
118,Provideniya,64.3833,-173.3,44.71,93,100,20.13,RU,2022-09-11 21:29:05
119,Carnarvon,-24.8667,113.6333,64.71,70,78,2.3,AU,2022-09-11 21:30:24
120,Sobolevo,54.4299,31.8996,45.05,96,100,12.48,RU,2022-09-11 21:35:14
121,Chaiya,9.3862,99.1986,81.18,86,100,3.58,TH,2022-09-11 21:35:14
122,Champerico,14.3,-91.9167,88.34,76,57,8.5,GT,2022-09-11 21:35:15
123,Van Buren,35.4368,-94.3483,82.42,35,0,13.8,US,2022-09-11 21:35:16
124,Kismayo,-0.3582,42.5454,75.13,82,73,15.26,SO,2022-09-11 21:35:16
125,Henties Bay,-22.116,14.2845,54.64,92,1,7.7,NA,2022-09-11 21:35:16
126,Laurentides,46.4334,-74.9826,72.99,77,100,3.4,CA,2022-09-11 21:35:17
127,Hervey Bay,-25.2986,152.8535,63.43,56,100,5.84,AU,2022-09-11 21:35:17
128,Mount Pleasant,32.7941,-79.8626,88.3,71,0,9.22,US,2022-09-11 21:35:18
129,Urengoy,65.9667,78.3667,38.03,74,98,11.83,RU,2022-09-11 21:35:18
130,Ribeira Grande,38.5167,-28.7,73.15,79,100,22.17,PT,2022-09-11 21:31:44
131,Guerrero Negro,27.9769,-114.0611,82.62,64,48,10.2,MX,2022-09-11 21:33:02
132,Jardim,-21.4803,-56.1381,82.36,34,0,2.89,BR,2022-09-11 21:35:19
133,Kaeo,-35.1,173.7833,61.32,94,70,15.84,NZ,2022-09-11 21:35:20
134,General Roca,-39.0333,-67.5833,75.61,22,0,22.12,AR,2022-09-11 21:35:20
135,Nioro,13.35,-15.75,75.99,92,84,3.58,GM,2022-09-11 21:35:20
136,Helong,42.5397,128.9972,60.93,95,81,3.15,CN,2022-09-11 21:36:21
137,Umtata,-31.5889,28.7844,53.76,79,100,7.23,ZA,2022-09-11 21:36:22
138,Hobart,-42.8794,147.3294,42.06,75,40,4.61,AU,2022-09-11 21:30:03
139,Bontang,0.1333,117.5,73.98,89,100,4.05,ID,2022-09-11 21:36:22
140,Port Elizabeth,-33.918,25.5701,56.32,96,100,9.22,ZA,2022-09-11 21:29:16
141,Road Town,18.4167,-64.6167,87.89,74,20,6.91,VG,2022-09-11 21:36:23
142,Richards Bay,-28.783,32.0377,66.45,86,100,13.24,ZA,2022-09-11 21:33:13
143,Shenjiamen,29.9576,122.298,76.91,86,100,8.88,CN,2022-09-11 21:36:24
144,Voloshka,61.3314,40.0858,42.8,79,37,3.51,RU,2022-09-11 21:36:24
145,Nilai,2.8169,101.7956,74.88,94,20,0.0,MY,2022-09-11 21:36:25
146,Tra Vinh,9.9347,106.3453,75.96,93,100,1.74,VN,2022-09-11 21:36:25
147,Shellbrook,53.2168,-106.4011,79.83,13,0,8.46,CA,2022-09-11 21:36:26
148,Los Llanos De Aridane,28.6585,-17.9182,71.35,94,0,0.0,ES,2022-09-11 21:36:26
149,Hattiesburg,31.3271,-89.2903,89.92,62,40,5.75,US,2022-09-11 21:36:27
150,Ayagoz,47.9714,80.4392,50.81,51,8,15.32,KZ,2022-09-11 21:36:27
151,Ligayan,4.6533,119.4706,82.02,75,97,6.62,PH,2022-09-11 21:36:28
152,Sharjah,25.3573,55.4033,89.58,74,4,5.75,AE,2022-09-11 21:36:28
153,Iwanai,42.9744,140.5089,65.17,90,98,6.17,JP,2022-09-11 21:36:28
154,Cortez,37.3489,-108.5859,83.93,27,0,8.72,US,2022-09-11 21:36:29
155,Hermanus,-34.4187,19.2345,50.81,65,93,7.36,ZA,2022-09-11 21:24:42
